,CensusTract,State,County,pop_with_low_access,percent_with_low_access
14716,12017450702,Florida,Citrus,1489.58473335291,0.1912912204126
14892,12031010304,Florida,Duval,1485.36122833192,0.204736213415841
14704,12017450101,Florida,Citrus,1483.19621329798,0.228359694118242
14204,12009062107,Florida,Brevard,1477.90322806499,0.446901490192017
16456,12086010001,Florida,Miami-Dade,1475.24955372139,0.228190186190471
17935,12113010802,Florida,Santa Rosa,1469.5860965242,0.337525515967892
17361,12101031804,Florida,Pasco,1461.44558053439,0.351647156047737
14556,12011070322,Florida,Broward,1461.41326355934,0.229637533557408
17795,12105014901,Florida,Polk,1457.44694150611,0.166451226759493
17894,12111381502,Florida,St. Lucie,1456.60991463856,0.134089101964335
16500,12086011201,Florida,Miami-Dade,1455.83728671737,0.231821223999581
16829,12095016508,Florida,Orange,1454.43323440785,0.166334999360459
15797,12071050208,Florida,Lee,1452.18995134596,0.256208530583268
17791,12105014702,Florida,Polk,1452.09542679836,0.163156789527906
18259,12127091018,Florida,Volusia,1448.97936693765,0.212118191617282
16024,12083001401,Florida,Marion,1446.52525885147,0.288958301808124
15454,12057012503,Florida,Hillsborough,1437.98853271738,0.32629646760095
16873,12095017016,Florida,Orange,1437.80637502128,0.17390014211675
18179,12127081500,Florida,Volusia,1434.94984680786,0.722169022047241
18225,12127083203,Florida,Volusia,1433.19776387111,0.207169378992644
15767,12071040126,Florida,Lee,1431.17613084567,0.529672883362575
14473,12011050800,Florida,Broward,1430.63300938531,0.294611410499448
14939,12031013726,Florida,Duval,1429.82661451096,0.160781132858537
15230,12055961603,Florida,Highlands,1428.82836845482,0.227665450677952
18221,12127083006,Florida,Volusia,1428.79281843191,0.212839686940551
16926,12097042200,Florida,Osceola,1422.99024067501,0.158373983380636
15210,12055960103,Florida,Highlands,1421.54651903553,0.301175109965155
15629,12069030411,Florida,Lake,1419.44570588303,0.266312515175053
14927,12031013200,Florida,Duval,1415.44559475296,0.612481867050179
17896,12111381601,Florida,St. Lucie,1405.94351923651,0.24219526601835
15960,12081001404,Florida,Manatee,1405.13373301079,0.458295411940898
15103,12035060104,Florida,Flagler,1404.78410681119,0.352429530058001
18056,12117020806,Florida,Seminole,1401.98184765735,0.230475398266868
15615,12069030207,Florida,Lake,1400.81340250809,0.283737776485334
14228,12009064202,Florida,Brevard,1387.91748997784,0.49728322822567
17267,12099007839,Florida,Palm Beach,1385.05191517918,0.214836655061142
15011,12031016604,Florida,Duval,1384.7191204417,0.333586875558107
14173,12005002604,Florida,Bay,1383.5412858132,0.194645650789702
14702,12015030503,Florida,Charlotte,1379.17760271526,0.234554014067222
